epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,1043.65,1.00414,1.61433,0.74128,1.12186,0.74119,0.59841,0.66392,0.40604,0.75316,0.61194,0.66646,0.38099,1.46049,2.93613,1.32249,1.45933,0.0012872,0.0012872,0.0012872
56,1061.91,1.00382,1.63434,0.73051,1.09931,0.67309,0.60438,0.65721,0.38314,0.70513,0.60675,0.67537,0.37328,1.56307,2.85022,1.3567,1.5357,0.001274,0.001274,0.001274
57,1080.06,0.99995,1.61082,0.72174,1.11257,0.70595,0.63304,0.65095,0.40423,0.71201,0.64179,0.65057,0.37744,1.45806,2.89277,1.30212,1.43524,0.0012608,0.0012608,0.0012608
58,1099.29,0.99141,1.62497,0.7353,1.10111,0.68145,0.59701,0.64387,0.38309,0.70405,0.6273,0.67622,0.37938,1.47929,2.69245,1.32487,1.41708,0.0012476,0.0012476,0.0012476
59,1117.94,0.99653,1.58934,0.71599,1.09958,0.66547,0.62189,0.66319,0.39206,0.7001,0.64677,0.67949,0.39483,1.48349,2.69815,1.33287,1.41017,0.0012344,0.0012344,0.0012344
60,1137.73,0.97563,1.57321,0.70423,1.08139,0.69995,0.65174,0.66542,0.40835,0.71312,0.64308,0.6823,0.38317,1.54957,2.75932,1.26395,1.50554,0.0012212,0.0012212,0.0012212
61,1155.94,0.96878,1.56527,0.69798,1.0937,0.73544,0.58087,0.64161,0.4009,0.66714,0.64677,0.65477,0.3662,1.48321,2.97951,1.30289,1.44935,0.001208,0.001208,0.001208
62,1174.05,0.95551,1.55025,0.67456,1.08864,0.66669,0.66673,0.68239,0.41346,0.74899,0.60697,0.69042,0.40226,1.46293,2.86839,1.29329,1.3993,0.0011948,0.0011948,0.0011948
63,1193.67,0.9543,1.53275,0.66619,1.08517,0.77851,0.57711,0.67356,0.4091,0.79681,0.58706,0.69973,0.39626,1.43595,2.76085,1.21093,1.3927,0.0011816,0.0011816,0.0011816
64,1211.96,0.96266,1.58961,0.70168,1.09333,0.67922,0.61692,0.66674,0.38276,0.69017,0.62687,0.68263,0.38422,1.54864,2.80248,1.26283,1.4946,0.0011684,0.0011684,0.0011684
65,1230.29,0.95979,1.5425,0.67895,1.08039,0.67973,0.59204,0.65994,0.39485,0.68983,0.61194,0.68299,0.37039,1.4931,2.99482,1.33956,1.4422,0.0011552,0.0011552,0.0011552
66,1249.91,0.94091,1.52259,0.67141,1.07722,0.73941,0.63682,0.68496,0.42088,0.75384,0.64677,0.69859,0.39432,1.48647,2.76974,1.28266,1.45904,0.001142,0.001142,0.001142
67,1268.22,0.92504,1.51317,0.65531,1.07213,0.67963,0.55938,0.63288,0.39165,0.68047,0.62511,0.65667,0.37262,1.46928,2.84199,1.51247,1.43674,0.0011288,0.0011288,0.0011288
68,1287.2,0.91896,1.49999,0.65963,1.06324,0.70645,0.64677,0.68477,0.43095,0.72276,0.66169,0.70917,0.40626,1.42538,2.87459,1.17474,1.40023,0.0011156,0.0011156,0.0011156
69,1305.86,0.91281,1.49467,0.65863,1.0731,0.70638,0.63184,0.69462,0.43131,0.72306,0.64677,0.72249,0.41239,1.42661,2.80441,1.16727,1.39778,0.0011024,0.0011024,0.0011024
70,1324.21,0.90107,1.48657,0.63503,1.05422,0.71861,0.62189,0.66536,0.40103,0.74029,0.63682,0.68407,0.37862,1.49343,2.9393,1.32034,1.419,0.0010892,0.0010892,0.0010892
71,1343.83,0.94609,1.50302,0.64993,1.06709,0.69591,0.63682,0.66833,0.40785,0.71969,0.66423,0.69558,0.38502,1.47038,2.93102,1.2341,1.43267,0.001076,0.001076,0.001076
72,1362.24,0.91357,1.53699,0.65334,1.06708,0.6996,0.63184,0.69448,0.42559,0.68482,0.64179,0.68496,0.38832,1.46394,2.84278,1.21055,1.4369,0.0010628,0.0010628,0.0010628
73,1380.44,0.89255,1.46458,0.62134,1.05447,0.69853,0.62687,0.69378,0.41784,0.70807,0.64179,0.71671,0.40497,1.52913,2.67882,1.27425,1.4645,0.0010496,0.0010496,0.0010496
74,1399.65,0.91973,1.50532,0.64429,1.06828,0.63367,0.65672,0.67749,0.41361,0.70028,0.66258,0.70995,0.40437,1.51373,2.78163,1.26669,1.45304,0.0010364,0.0010364,0.0010364
75,1417.87,0.9195,1.48218,0.64594,1.06573,0.75063,0.62687,0.67627,0.41113,0.7714,0.65174,0.71193,0.41203,1.52917,2.86649,1.20105,1.45129,0.0010232,0.0010232,0.0010232
76,1436.17,0.91636,1.46669,0.63296,1.06158,0.67829,0.62687,0.66645,0.40961,0.72961,0.61755,0.68131,0.38721,1.4913,2.79652,1.26551,1.45023,0.00101,0.00101,0.00101
77,1455.78,0.89245,1.44889,0.63192,1.05512,0.66194,0.65672,0.69347,0.40866,0.67197,0.66667,0.7068,0.39498,1.5298,2.71988,1.24869,1.53118,0.0009968,0.0009968,0.0009968
78,1474.19,0.8656,1.43164,0.61418,1.03785,0.63606,0.63474,0.65237,0.40804,0.66576,0.66395,0.68692,0.39529,1.48338,2.73478,1.32737,1.44737,0.0009836,0.0009836,0.0009836
79,1492.44,0.8795,1.43823,0.6188,1.04457,0.70468,0.64677,0.6534,0.39952,0.72637,0.66667,0.69646,0.39247,1.49895,2.79081,1.27173,1.48105,0.0009704,0.0009704,0.0009704
80,1511.79,0.88677,1.46235,0.62948,1.04854,0.76399,0.612,0.68345,0.41121,0.80225,0.63184,0.72035,0.39441,1.46335,2.93043,1.18749,1.45565,0.0009572,0.0009572,0.0009572
81,1529.82,0.86886,1.41776,0.59338,1.045,0.65918,0.63509,0.65013,0.39716,0.70453,0.67662,0.67958,0.37858,1.45533,2.7901,1.24054,1.42608,0.000944,0.000944,0.000944
82,1548.92,0.88538,1.44129,0.60336,1.05072,0.74799,0.58706,0.65371,0.4136,0.77968,0.61194,0.68464,0.4123,1.47975,2.83748,1.33375,1.47338,0.0009308,0.0009308,0.0009308
83,1567.8,0.88684,1.46203,0.6126,1.05935,0.72349,0.62687,0.6704,0.40734,0.72349,0.62687,0.67295,0.39578,1.50311,2.94854,1.35576,1.44088,0.0009176,0.0009176,0.0009176
84,1586.02,0.89241,1.45949,0.62068,1.04966,0.66439,0.69154,0.69051,0.40146,0.66439,0.69154,0.70018,0.39612,1.52276,2.98333,1.26459,1.44102,0.0009044,0.0009044,0.0009044
